St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  203 1046]
40,50,20,Mode,40,[   0  203  556 1046]
40,50,20,Median,40,[   0  184  556 1046]
40,50,20,Mode,40,[   0  203  556  977 1046]
40,50,20,Median,40,[   0  556  682  889 1046]
40,50,20,Mode,40,[   0  203  556  695  977 1046]
40,50,20,Median,40,[   0   52  203  556  682  889 1046]
40,50,20,Mode,40,[   0   52  203  556  695  977 1046]
40,50,20,Median,40,[   0   52  203  556  682  856  977 1046]
40,50,20,Mode,40,[   0   52  203  556  695  856  977 1046]
40,50,20,Median,40,[   0   52  203  556  682  856  977 1046]
40,50,20,Mode,40,[   0   52  203  556  695  856  977 1046]
40,50,20,Median,40,[   0  137  203  556  682  856  977 1046]
40,50,20,Mode,40,[   0  137  203  556  695  856  977 1046]
40,50,20,Median,40,[   0  137  203  556  682  856  977 1046]
40,50,20,Mode,40,[   0  137  203  556  695  856  977 1046]
40,50,20,Median,40,[   0  137  203  556  682  856  977 1046]
40,50,20,Mode,40,[   0  137  203  556  695  856  977 1046]
