St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  340  856 1046]
40,50,20,Mode,40,[   0  856 1046]
40,50,20,Median,40,[   0  328  567  956 1046]
40,50,20,Mode,40,[   0  262  563  856 1046]
40,50,20,Median,40,[   0   59  328  567  956 1046]
40,50,20,Mode,40,[   0   59  563  856 1046]
40,50,20,Median,40,[   0   59  328  563  682  956 1046]
40,50,20,Mode,40,[   0   59  563  708  856 1046]
40,50,20,Median,40,[   0   59  328  563  682  856  977 1046]
40,50,20,Mode,40,[   0   59  563  708  856  977 1046]
40,50,20,Median,40,[   0   59  262  338  563  687  856  977 1046]
40,50,20,Mode,40,[   0   59  262  341  563  708  856  977 1046]
40,50,20,Median,40,[   0   59  262  338  563  687  856  977 1046]
40,50,20,Mode,40,[   0   59  262  341  563  708  856  977 1046]
40,50,20,Median,40,[   0   59  262  338  563  664  856  977 1046]
40,50,20,Mode,40,[   0   59  262  341  563  664  856  977 1046]
40,50,20,Median,40,[   0   59  262  338  563  664  856  977 1046]
40,50,20,Mode,40,[   0   59  262  341  563  664  856  977 1046]
