St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  943 1046]
40,50,20,Mode,40,[   0  286  896 1046]
40,50,20,Median,40,[   0  286  541  943 1046]
40,50,20,Mode,40,[   0  286  466  896 1046]
40,50,20,Median,40,[   0   64  541  943 1046]
40,50,20,Mode,40,[   0   64  286  466  896 1046]
40,50,20,Median,40,[   0   64  286  943 1046]
40,50,20,Mode,40,[   0   64  286  466  896 1046]
40,50,20,Median,40,[   0   64  286  466  583  680  943 1046]
40,50,20,Mode,40,[   0   64  286  466  541  718  896 1046]
40,50,20,Median,40,[   0   64  286  466  583  680  896  951 1046]
40,50,20,Mode,40,[   0   64  286  466  541  718  896 1046]
40,50,20,Median,40,[   0   64  286  357  583  680  896  951 1046]
40,50,20,Mode,40,[   0   64  286  357  466  541  718  896 1046]
40,50,20,Median,40,[   0   64  286  357  466  541  584  896  951 1046]
40,50,20,Mode,40,[   0   64  286  357  466  541  584  896 1046]
40,50,20,Median,40,[   0   64  286  357  466  541  584  896  943  984 1046]
40,50,20,Mode,40,[   0   64  286  357  466  541  584  718  896  943  984 1046]
