St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  341  857 1046]
40,50,20,Mode,40,[   0  389  871 1046]
40,50,20,Median,40,[   0  143  480 1046]
40,50,20,Mode,40,[   0  113 1046]
40,50,20,Median,40,[   0  143  681  871 1046]
40,50,20,Mode,40,[   0  113  681  871 1046]
40,50,20,Median,40,[   0  143  652  864 1000 1046]
40,50,20,Mode,40,[   0  113  681  871 1000 1046]
40,50,20,Median,40,[   0  113  389  525  681  864 1000 1046]
40,50,20,Mode,40,[   0  113  389  480  681  871 1000 1046]
40,50,20,Median,40,[   0  113  389  525  681  864 1000 1046]
40,50,20,Mode,40,[   0  113  389  480  681  871 1000 1046]
40,50,20,Median,40,[   0  113  389  525  681  871 1000 1046]
40,50,20,Mode,40,[   0  113  389  480  681  871 1000 1046]
40,50,20,Median,40,[   0  113  389  480  560  681  871 1000 1046]
40,50,20,Mode,40,[   0  113  389  525  681  871 1000 1046]
40,50,20,Median,40,[   0  113  268  389  480  580  681  871 1000 1046]
40,50,20,Mode,40,[   0  113  268  389  480  560  681  871 1000 1046]
