St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   58  615 1046]
40,50,20,Mode,40,[   0   58  567 1046]
40,50,20,Median,40,[   0   58  567  900 1046]
40,50,20,Mode,40,[   0  567  982 1046]
40,50,20,Median,40,[   0   58  291  567  900 1046]
40,50,20,Mode,40,[   0   58  291  567  982 1046]
40,50,20,Median,40,[   0   58  291  567  982 1046]
40,50,20,Mode,40,[   0   58  291  567  982 1046]
40,50,20,Median,40,[   0   58  291  580  982 1046]
40,50,20,Mode,40,[   0   58  452  567  982 1046]
40,50,20,Median,40,[   0   58  452  567  615  982 1046]
40,50,20,Mode,40,[   0   58  452  567  615  982 1046]
40,50,20,Median,40,[   0   58  234  291  452  567  615  982 1046]
40,50,20,Mode,40,[   0   58  234  291  452  567  615  982 1046]
40,50,20,Median,40,[   0   58  234  291  452  567  615  802  982 1046]
40,50,20,Mode,40,[   0   58  234  291  452  567  615  807  982 1046]
40,50,20,Median,40,[   0   58  234  291  452  567  615  802  982 1046]
40,50,20,Mode,40,[   0   58  234  291  452  567  615  807  982 1046]
