St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  360  716 1046]
40,50,20,Mode,40,[   0  213  811 1046]
40,50,20,Median,40,[   0  213  811 1046]
40,50,20,Mode,40,[   0  213  811 1046]
40,50,20,Median,40,[   0  213  431  687  845 1046]
40,50,20,Mode,40,[   0  213  431  716  811 1046]
40,50,20,Median,40,[   0  213  431  687  811  945 1046]
40,50,20,Mode,40,[   0  213  431  716  811  945 1046]
40,50,20,Median,40,[   0  213  486  689  811  945 1046]
40,50,20,Mode,40,[   0  213  431  486  716  811  945 1046]
40,50,20,Median,40,[   0  213  634  689  811  945 1046]
40,50,20,Mode,40,[   0  213  360  431  578  716  811  945 1046]
40,50,20,Median,40,[   0  119  634  689  811  945 1046]
40,50,20,Mode,40,[   0  119  213  360  431  578  716  811  945 1046]
40,50,20,Median,40,[   0  119  634  689  811  897  945 1046]
40,50,20,Mode,40,[   0  119  213  360  431  578  716  811  897  945 1046]
40,50,20,Median,40,[   0  119  634  689  811 1003 1046]
40,50,20,Mode,40,[   0  119  213  360  431  578  634  716  811  945 1003 1046]
