St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  338  711 1046]
40,50,20,Mode,40,[   0  711 1046]
40,50,20,Median,40,[   0  711 1046]
40,50,20,Mode,40,[   0  459  711 1046]
40,50,20,Median,40,[   0  711 1046]
40,50,20,Mode,40,[   0  459  711 1046]
40,50,20,Median,40,[   0  113  445  711 1046]
40,50,20,Mode,40,[   0  459  711 1046]
40,50,20,Median,40,[   0  113  338  405  517  711 1046]
40,50,20,Mode,40,[   0  349  459  612  711 1046]
40,50,20,Median,40,[   0  113  404  459  711 1046]
40,50,20,Mode,40,[   0  404  459  711 1046]
40,50,20,Median,40,[   0  113  344  404  459  711 1046]
40,50,20,Mode,40,[   0  264  349  404  459  711 1046]
40,50,20,Median,40,[   0  101  150  264  344  404  459  711 1046]
40,50,20,Mode,40,[   0  101  150  264  349  404  459  711 1046]
40,50,20,Median,40,[   0  101  150  264  344  404  459  711 1046]
40,50,20,Mode,40,[   0  101  150  264  349  404  459  711 1046]
