St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   97  788 1046]
40,50,20,Mode,40,[   0   45  556 1046]
40,50,20,Median,40,[   0   97  556  829 1046]
40,50,20,Mode,40,[   0   45  556 1046]
40,50,20,Median,40,[   0   97  556  975 1046]
40,50,20,Mode,40,[   0   45  556  975 1046]
40,50,20,Median,40,[   0   57  556  975 1046]
40,50,20,Mode,40,[   0   45  556  975 1046]
40,50,20,Median,40,[   0   57  469  556  975 1046]
40,50,20,Mode,40,[   0   45  247  469  556  975 1046]
40,50,20,Median,40,[   0   57  469  556  811  975 1046]
40,50,20,Mode,40,[   0   45  247  469  556  975 1046]
40,50,20,Median,40,[   0   45  469  556  811  975 1046]
40,50,20,Mode,40,[   0   45  247  469  556  975 1046]
40,50,20,Median,40,[   0   45  556  788  829  975 1046]
40,50,20,Mode,40,[   0   45  556  788  829  975 1046]
40,50,20,Median,40,[   0   45  247  469  556  632  811  975 1046]
40,50,20,Mode,40,[   0   45  247  469  556  632  720  975 1046]
