St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  379  820 1046]
40,50,20,Mode,40,[   0  489  820 1046]
40,50,20,Median,40,[   0  188  489  820 1046]
40,50,20,Mode,40,[   0  164  489  820 1046]
40,50,20,Median,40,[   0  164  489  820 1046]
40,50,20,Mode,40,[   0  164  404  489  820 1046]
40,50,20,Median,40,[   0  164  489  805  928 1046]
40,50,20,Mode,40,[   0  164  404  489  820  864 1046]
40,50,20,Median,40,[   0  210  489  817  928 1046]
40,50,20,Mode,40,[   0  164  404  489  820  928 1046]
40,50,20,Median,40,[   0  210  489  820  928 1046]
40,50,20,Mode,40,[   0  164  404  489  820  928 1046]
40,50,20,Median,40,[   0  210  489  750  820  864 1046]
40,50,20,Mode,40,[   0  164  404  489  820  864 1046]
40,50,20,Median,40,[   0  169  263  379  489  820  928 1046]
40,50,20,Mode,40,[   0  164  263  489  820  928 1046]
40,50,20,Median,40,[   0  169  263  379  489  820  928 1046]
40,50,20,Mode,40,[   0  164  263  489  820  928 1046]
