St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  616 2017]
40,50,20,Mode,40,[   0  856 2017]
40,50,20,Median,40,[   0  483 1051 1762 2017]
40,50,20,Mode,40,[   0  616 1762 2017]
40,50,20,Median,40,[   0  900 1762 2017]
40,50,20,Mode,40,[   0  616  856 1224 1762 2017]
40,50,20,Median,40,[   0  900 1762 2017]
40,50,20,Mode,40,[   0  168  616  856 1224 1762 2017]
40,50,20,Median,40,[   0  423  616 1762 2017]
40,50,20,Mode,40,[   0  168  616  856 1224 1762 2017]
40,50,20,Median,40,[   0  423  616 1762 2017]
40,50,20,Mode,40,[   0  168  616  856 1224 1762 2017]
40,50,20,Median,40,[   0  423  616  856  987 1762 2017]
40,50,20,Mode,40,[   0  168  616  856  987 1762 2017]
40,50,20,Median,40,[   0  423  616  856  987 1762 2017]
40,50,20,Mode,40,[   0  168  616  856  987 1224 1330 1762 2017]
40,50,20,Median,40,[   0  411  504  616  856  987 1224 1301 1762 2017]
40,50,20,Mode,40,[   0  423  504  616  856  987 1224 1299 1762 2017]
