St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 182 568 922]
40,50,20,Mode,40,[  0 111 560 922]
40,50,20,Median,40,[  0 111 393 611 922]
40,50,20,Mode,40,[  0 111 344 560 922]
40,50,20,Median,40,[  0 111 344 560 922]
40,50,20,Mode,40,[  0 111 344 560 922]
40,50,20,Median,40,[  0 111 344 560 696 922]
40,50,20,Mode,40,[  0 111 344 560 922]
40,50,20,Median,40,[  0 111 344 460 568 696 922]
40,50,20,Mode,40,[  0 111 344 460 560 922]
40,50,20,Median,40,[  0 111 182 344 460 568 696 922]
40,50,20,Mode,40,[  0 111 182 344 460 560 922]
40,50,20,Median,40,[  0 111 182 344 460 568 696 922]
40,50,20,Mode,40,[  0 111 182 344 460 560 922]
40,50,20,Median,40,[  0 111 182 344 460 568 689 738 922]
40,50,20,Mode,40,[  0 111 182 344 460 560 689 738 922]
40,50,20,Median,40,[  0 182 416 568 689 738 922]
40,50,20,Mode,40,[  0 182 416 560 689 738 922]
