St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  322 1021 1343]
40,50,20,Mode,40,[   0  153 1343]
40,50,20,Median,40,[   0  153 1162 1343]
40,50,20,Mode,40,[   0  153 1343]
40,50,20,Median,40,[   0  128  919 1213 1343]
40,50,20,Mode,40,[   0  153  919 1213 1343]
40,50,20,Median,40,[   0  128  727  947 1213 1343]
40,50,20,Mode,40,[   0  153  727  919 1213 1343]
40,50,20,Median,40,[   0  128  732  947 1213 1343]
40,50,20,Mode,40,[   0  153  727  919 1213 1343]
40,50,20,Median,40,[   0   65  153  732  947 1213 1343]
40,50,20,Mode,40,[   0   87  153  727  919 1213 1343]
40,50,20,Median,40,[   0   65  153  732  947 1213 1343]
40,50,20,Mode,40,[   0   87  153  727  919 1213 1343]
40,50,20,Median,40,[   0   65  153  500  732  947 1213 1343]
40,50,20,Mode,40,[   0   87  153  501  573  727  919 1213 1343]
40,50,20,Median,40,[   0   65  153  500  578  732  919  976 1213 1343]
40,50,20,Mode,40,[   0   87  153  501  573  727  919  972 1213 1343]
