St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  166 1110 1343]
40,50,20,Mode,40,[   0  166 1287 1343]
40,50,20,Median,40,[   0  109 1110 1343]
40,50,20,Mode,40,[   0  166 1287 1343]
40,50,20,Median,40,[   0  109  595 1343]
40,50,20,Mode,40,[   0  166  595 1003 1287 1343]
40,50,20,Median,40,[   0  109 1110 1287 1343]
40,50,20,Mode,40,[   0  166  931 1110 1287 1343]
40,50,20,Median,40,[   0   92  166 1110 1287 1343]
40,50,20,Mode,40,[   0   92  166 1110 1287 1343]
40,50,20,Median,40,[   0   92  166 1110 1287 1343]
40,50,20,Mode,40,[   0   92  166 1003 1287 1343]
40,50,20,Median,40,[   0   92  166 1110 1287 1343]
40,50,20,Mode,40,[   0   92  166 1003 1287 1343]
40,50,20,Median,40,[   0   92  166  451  595 1003 1287 1343]
40,50,20,Mode,40,[   0   92  166  451  595 1003 1287 1343]
40,50,20,Median,40,[   0   92  166  451  595 1003 1287 1343]
40,50,20,Mode,40,[   0   92  166  451  595 1003 1287 1343]
