St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  374  979 1419]
40,50,20,Mode,40,[   0  488  769 1419]
40,50,20,Median,40,[   0  910 1321 1419]
40,50,20,Mode,40,[   0  488  769 1321 1419]
40,50,20,Median,40,[   0  935 1321 1419]
40,50,20,Mode,40,[   0  105  488  769 1321 1419]
40,50,20,Median,40,[   0  488  769  974 1367 1419]
40,50,20,Mode,40,[   0  105  488  769  974 1321 1419]
40,50,20,Median,40,[   0  105  488  769  974 1367 1419]
40,50,20,Mode,40,[   0  105  488  769  974 1321 1419]
40,50,20,Median,40,[   0  136  374  488  769  974 1132 1367 1419]
40,50,20,Mode,40,[   0  105  488  769  974 1132 1321 1419]
40,50,20,Median,40,[   0  211  380  488  769  974 1132 1367 1419]
40,50,20,Mode,40,[   0  105  277  374  488  769  974 1132 1321 1419]
40,50,20,Median,40,[   0   47  374  615  769  974 1419]
40,50,20,Mode,40,[   0  211  277  488  590  769 1132 1321 1419]
40,50,20,Median,40,[   0   47  374  615  769  910 1419]
40,50,20,Mode,40,[   0  211  277  488  590  769  910 1419]
