St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1229 4285]
40,50,20,Mode,40,[   0 2716 4285]
40,50,20,Median,40,[   0 1084 2716 4285]
40,50,20,Mode,40,[   0 2716 3285 4285]
40,50,20,Median,40,[   0  957 1906 2833 4285]
40,50,20,Mode,40,[   0 1230 1616 2716 4285]
40,50,20,Median,40,[   0 1052 1906 2833 4285]
40,50,20,Mode,40,[   0   99 1230 1616 2716 4285]
40,50,20,Median,40,[   0  428 1134 1973 2833 3977 4285]
40,50,20,Mode,40,[   0   99 1230 1616 2716 3285 3977 4285]
40,50,20,Median,40,[   0  955 1230 2034 2833 4285]
40,50,20,Mode,40,[   0  955 1230 2034 2716 4285]
40,50,20,Median,40,[   0  896 1609 2034 2833 4213 4285]
40,50,20,Mode,40,[   0  955 1230 2034 2716 4285]
40,50,20,Median,40,[   0  896 1609 2034 2716 4213 4285]
40,50,20,Mode,40,[   0  955 1230 2034 2716 4285]
40,50,20,Median,40,[   0  896 1609 2034 2711 2896 3285 3555 4213 4285]
40,50,20,Mode,40,[   0  955 1230 2034 2716 3285 3443 4285]
