St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  665 4285]
40,50,20,Mode,40,[   0  665 2775 4285]
40,50,20,Median,40,[   0  665 2775 3807 4285]
40,50,20,Mode,40,[   0  665 2775 3940 4285]
40,50,20,Median,40,[   0  665 2200 2874 3807 4285]
40,50,20,Mode,40,[   0  665 2775 3940 4285]
40,50,20,Median,40,[   0  338 2200 2874 3807 4285]
40,50,20,Mode,40,[   0  497  665 2775 3940 4285]
40,50,20,Median,40,[   0  338 1566 2278 3807 4285]
40,50,20,Mode,40,[   0  497  665 1190 2775 3940 4285]
40,50,20,Median,40,[   0  338 1566 2278 4203 4285]
40,50,20,Mode,40,[   0  497  665 1190 2775 3940 4285]
40,50,20,Median,40,[   0  114 1566 2278 4203 4285]
40,50,20,Mode,40,[   0  114  497  665 1190 2775 3940 4285]
40,50,20,Median,40,[   0  632  823 2775 3076 4202 4285]
40,50,20,Mode,40,[   0  665  741 2775 3076 3940 4285]
40,50,20,Median,40,[   0  114  400 1190 1630 2775 3076 4202 4285]
40,50,20,Mode,40,[   0  114  497  665 1190 1630 2775 3076 3735 3940 4285]
