St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  990 2516 3353]
40,50,20,Mode,40,[   0  229 2512 3353]
40,50,20,Median,40,[   0  479 3353]
40,50,20,Mode,40,[   0  229 1293 2512 3353]
40,50,20,Median,40,[   0  229 1177 1827 3353]
40,50,20,Mode,40,[   0  229 1293 1658 2512 3353]
40,50,20,Median,40,[   0  229 1075 1583 2512 2959 3353]
40,50,20,Mode,40,[   0  229 1293 1463 2512 2853 3353]
40,50,20,Median,40,[   0  827 2512 2959 3353]
40,50,20,Mode,40,[   0  599 1658 3353]
40,50,20,Median,40,[   0  687 1177 1572 2006 2516 3353]
40,50,20,Mode,40,[   0  479 2512 3353]
40,50,20,Median,40,[   0  599  972 1293 1583 2023 2516 2959 3353]
40,50,20,Mode,40,[   0  479 1075 1293 2512 3353]
40,50,20,Median,40,[   0  599 1658 3353]
40,50,20,Mode,40,[   0  229  479 1075 1293 1658 2853 3102 3353]
40,50,20,Median,40,[   0  599  972 1293 1572 2231 2516 3353]
40,50,20,Mode,40,[   0  229  479 1075 1293 1463 2006 2188 2512 2853 3102 3353]
