St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  416 1264]
40,50,20,Mode,40,[   0  614 1264]
40,50,20,Median,40,[   0  150  614 1264]
40,50,20,Mode,40,[   0  150  614 1264]
40,50,20,Median,40,[   0  150  614  911 1141 1264]
40,50,20,Mode,40,[   0  150  614  987 1141 1264]
40,50,20,Median,40,[   0  150  463  614  967 1141 1264]
40,50,20,Mode,40,[   0  150  614  987 1141 1264]
40,50,20,Median,40,[   0  614 1264]
40,50,20,Mode,40,[   0  150  614  987 1141 1264]
40,50,20,Median,40,[   0  614  749  987 1141 1264]
40,50,20,Mode,40,[   0  150  614  831  987 1141 1264]
40,50,20,Median,40,[   0  200  529  614  831  987 1141 1264]
40,50,20,Mode,40,[   0  150  614  831  987 1141 1264]
40,50,20,Median,40,[   0  150  224  614  831 1141 1264]
40,50,20,Mode,40,[   0   58  150  224  614  831 1141 1264]
40,50,20,Median,40,[   0  150  224  614  862 1141 1264]
40,50,20,Mode,40,[   0   58  150  224  614  749  987 1141 1264]
