St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  886 1264]
40,50,20,Mode,40,[   0  361 1088 1264]
40,50,20,Median,40,[   0  741 1088 1264]
40,50,20,Mode,40,[   0  361  678 1088 1264]
40,50,20,Median,40,[   0  430  803 1088 1264]
40,50,20,Mode,40,[   0  361  678 1088 1264]
40,50,20,Median,40,[   0  678  865 1128 1264]
40,50,20,Mode,40,[   0  361  678 1088 1264]
40,50,20,Median,40,[   0  416  648 1088 1216 1264]
40,50,20,Mode,40,[   0  361  678  803 1088 1216 1264]
40,50,20,Median,40,[   0  338  459  678  865 1088 1216 1264]
40,50,20,Mode,40,[   0  361  459  678  803 1088 1216 1264]
40,50,20,Median,40,[   0  188  361  459  678  865 1088 1216 1264]
40,50,20,Mode,40,[   0  138  188  361  459  678 1088 1216 1264]
40,50,20,Median,40,[   0  188  361  459  678  803  886 1088 1216 1264]
40,50,20,Mode,40,[   0  138  188  361  459  678  803  883 1088 1216 1264]
40,50,20,Median,40,[   0  188  361  459  678  803  883 1014 1088 1216 1264]
40,50,20,Mode,40,[   0  138  188  361  459  678  803  883 1088 1216 1264]
