St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  438 1086 1197]
40,50,20,Mode,40,[   0  682 1086 1197]
40,50,20,Median,40,[   0  212  553 1086 1197]
40,50,20,Mode,40,[   0  222  682 1086 1197]
40,50,20,Median,40,[   0  175  682 1090 1197]
40,50,20,Mode,40,[   0  222  517  682 1086 1197]
40,50,20,Median,40,[   0  175  682  900 1090 1197]
40,50,20,Mode,40,[   0  222  517  682  859 1086 1197]
40,50,20,Median,40,[   0   60  222  682  900 1090 1197]
40,50,20,Mode,40,[   0   60  222  517  682  859 1086 1197]
40,50,20,Median,40,[   0   60  222  323  472  682  900 1090 1197]
40,50,20,Mode,40,[   0   60  222  341  517  682  859 1086 1197]
40,50,20,Median,40,[   0   60  222  341  472  682  900 1086 1142 1197]
40,50,20,Mode,40,[   0   60  222  341  517  682  859 1086 1142 1197]
40,50,20,Median,40,[   0   60  222  323  438  517  682 1086 1142 1197]
40,50,20,Mode,40,[   0   60  222  341  438  517  682  859 1086 1142 1197]
40,50,20,Median,40,[   0   60  222  341  438  517  682 1086 1142 1197]
40,50,20,Mode,40,[   0   60  222  341  438  517  682  859 1086 1142 1197]
