St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  305 1197]
40,50,20,Mode,40,[   0  526  901 1197]
40,50,20,Median,40,[   0  224  526  901 1197]
40,50,20,Mode,40,[   0  224  526  901 1197]
40,50,20,Median,40,[   0   91  526  901 1197]
40,50,20,Mode,40,[   0   91  224  526 1197]
40,50,20,Median,40,[   0   91  526 1197]
40,50,20,Mode,40,[   0   91  224  526 1096 1197]
40,50,20,Median,40,[   0   91  526  901 1197]
40,50,20,Mode,40,[   0   91  224  526  672 1096 1197]
40,50,20,Median,40,[   0   91  224  526 1197]
40,50,20,Mode,40,[   0   91  224  526  672 1096 1197]
40,50,20,Median,40,[   0   91  224  526 1197]
40,50,20,Mode,40,[   0   91  224  526  672 1096 1197]
40,50,20,Median,40,[   0   91  224  305  359  467 1197]
40,50,20,Mode,40,[   0   91  224  305  359  526  672 1096 1197]
40,50,20,Median,40,[   0   91  224  305  359  526 1096 1197]
40,50,20,Mode,40,[   0   91  224  305  359  526  672 1096 1197]
