St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  504 1012 1197]
40,50,20,Mode,40,[   0  463 1012 1197]
40,50,20,Median,40,[   0  253 1012 1197]
40,50,20,Mode,40,[   0  146  463 1012 1197]
40,50,20,Median,40,[   0  253 1012 1197]
40,50,20,Mode,40,[   0  463  619 1012 1197]
40,50,20,Median,40,[   0  253 1012 1197]
40,50,20,Mode,40,[   0  463  619 1012 1197]
40,50,20,Median,40,[   0  236  463  619 1012 1197]
40,50,20,Mode,40,[   0  463  619 1012 1197]
40,50,20,Median,40,[   0  160  301  463  619  738 1012 1197]
40,50,20,Mode,40,[   0  146  352  463  619  687 1012 1197]
40,50,20,Median,40,[   0  174  301  463  563  649 1012 1197]
40,50,20,Mode,40,[   0  146  352  463  563  619 1012 1197]
40,50,20,Median,40,[   0  160  301  463  504  633  764 1012 1197]
40,50,20,Mode,40,[   0  146  352  463  619 1012 1197]
40,50,20,Median,40,[   0  174  301  463  504  563  633 1012 1197]
40,50,20,Mode,40,[   0  146  352  463  504  563  619 1012 1197]
