St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1444 2812]
40,50,20,Mode,40,[   0 1444 2812]
40,50,20,Median,40,[   0  763 1444 2659 2812]
40,50,20,Mode,40,[   0  763 1444 2659 2812]
40,50,20,Median,40,[   0 1444 1865 2812]
40,50,20,Mode,40,[   0 1444 1935 2659 2812]
40,50,20,Median,40,[   0  408  763 1444 1865 2659 2812]
40,50,20,Mode,40,[   0  408  763 1444 1935 2659 2812]
40,50,20,Median,40,[   0  408  763 1444 1865 2659 2812]
40,50,20,Mode,40,[   0  408  763 1444 1935 2659 2812]
40,50,20,Median,40,[   0  408  763 1444 1865 2659 2812]
40,50,20,Mode,40,[   0  408  763 1444 1935 2659 2812]
40,50,20,Median,40,[   0   59  408  763 1444 1865 2659 2812]
40,50,20,Mode,40,[   0   59  408  763 1444 1935 2659 2812]
40,50,20,Median,40,[   0   59  408  763 1444 1777 1935 2659 2812]
40,50,20,Mode,40,[   0   59  408  763 1444 1777 1935 2659 2812]
40,50,20,Median,40,[   0   59 1444 1530 2812]
40,50,20,Mode,40,[   0   59 1444 1530 2812]
