St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  542 1620 2053]
40,50,20,Mode,40,[   0  636 1293 2053]
40,50,20,Median,40,[   0  542 1224 1800 2053]
40,50,20,Mode,40,[   0  636 1293 1893 2053]
40,50,20,Median,40,[   0  312  636 1224 1800 2053]
40,50,20,Mode,40,[   0  281  636 1293 1893 2053]
40,50,20,Median,40,[   0  312  636 1224 1893 2053]
40,50,20,Mode,40,[   0  281  636 1293 1739 1893 2053]
40,50,20,Median,40,[   0  330  636 1224 1893 2053]
40,50,20,Mode,40,[   0  281  636 1293 1739 1893 2053]
40,50,20,Median,40,[   0  330  636 1129 1893 2053]
40,50,20,Mode,40,[   0  281  636 1129 1739 1893 2053]
40,50,20,Median,40,[   0  330  636 1129 1293 1620 1800 2053]
40,50,20,Mode,40,[   0  281  636 1129 1293 1620 1739 1893 2053]
40,50,20,Median,40,[   0  312  462  636 1129 1293 1620 1800 2053]
40,50,20,Mode,40,[   0  281  462  636 1129 1293 1620 1739 1893 2053]
40,50,20,Median,40,[   0  312  391  636 1129 1293 1364 1620 1800 2053]
40,50,20,Mode,40,[   0  281  391  636 1129 1293 1364 1620 1739 1893 2053]
