St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1652 2053]
40,50,20,Mode,40,[   0  648 1653 2053]
40,50,20,Median,40,[   0  293 1652 2053]
40,50,20,Mode,40,[   0  293  648 2053]
40,50,20,Median,40,[   0  293 1636 1978 2053]
40,50,20,Mode,40,[   0  293  648 1978 2053]
40,50,20,Median,40,[   0  293  648 1652 1978 2053]
40,50,20,Mode,40,[   0  293  648  962 1653 1978 2053]
40,50,20,Median,40,[   0  293  648  962 1652 1978 2053]
40,50,20,Mode,40,[   0  293  648  962 1377 1653 1978 2053]
40,50,20,Median,40,[   0  293  648  812 1303 1652 1978 2053]
40,50,20,Mode,40,[   0  293  648  794 1377 1653 1978 2053]
40,50,20,Median,40,[   0  170  294  648  812 1303 1652 1978 2053]
40,50,20,Mode,40,[   0  293  648  794 1377 1653 1978 2053]
40,50,20,Median,40,[   0  170  294 1585 1653 1978 2053]
40,50,20,Mode,40,[   0  293  648  794 1377 1586 1653 1978 2053]
40,50,20,Median,40,[   0  293  380 1585 1653 2053]
40,50,20,Mode,40,[   0  293  380  648  794 1377 1586 1653 1978 2053]
