St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  671 1830 2211]
40,50,20,Mode,40,[   0 1830 2211]
40,50,20,Median,40,[   0  181  910 1830 2211]
40,50,20,Mode,40,[   0  181  910 1830 2211]
40,50,20,Median,40,[   0  181  592 1087 1830 2211]
40,50,20,Mode,40,[   0  181  592  910 1830 2211]
40,50,20,Median,40,[   0  181  592  910 1133 1830 2211]
40,50,20,Mode,40,[   0  181  592  910 1087 1830 2211]
40,50,20,Median,40,[   0  181  592  910 1133 1713 1830 2211]
40,50,20,Mode,40,[   0  181  592  910 1087 1713 1830 2211]
40,50,20,Median,40,[   0   97  181  592  910 1133 1713 1830 2211]
40,50,20,Mode,40,[   0   97  181  592  910 1087 1713 1830 2211]
40,50,20,Median,40,[   0   97  181  592  910 1133 1713 1830 1982 2211]
40,50,20,Mode,40,[   0   97  181  592  910 1087 1713 1830 1982 2211]
40,50,20,Median,40,[   0   97  181  592  910 1087 1160 1713 1830 1982 2211]
40,50,20,Mode,40,[   0   97  181  592  910 1087 1160 1713 1830 1982 2211]
40,50,20,Median,40,[   0   97  181  592  807  910 1133 1329 1713 1830 1982 2211]
40,50,20,Mode,40,[   0   97  181  807  910 1087 1713 1830 1982 2211]
