St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  546 1497 2211]
40,50,20,Mode,40,[   0  692 2211]
40,50,20,Median,40,[   0  514 2050 2211]
40,50,20,Mode,40,[   0  692 2149 2211]
40,50,20,Median,40,[   0  729 1330 2050 2211]
40,50,20,Mode,40,[   0  692 2149 2211]
40,50,20,Median,40,[   0  729 2050 2211]
40,50,20,Mode,40,[   0  692 1330 1421 2149 2211]
40,50,20,Median,40,[   0  729 2050 2211]
40,50,20,Mode,40,[   0   70  692 1330 1421 2149 2211]
40,50,20,Median,40,[   0  692 2050 2211]
40,50,20,Mode,40,[   0   70  442  692 1034 1330 2149 2211]
40,50,20,Median,40,[   0  692 1296 1859 2149 2211]
40,50,20,Mode,40,[   0   70  692 1330 1421 2149 2211]
40,50,20,Median,40,[   0  692  961 1219 1859 2149 2211]
40,50,20,Mode,40,[   0   70  442  692 1034 1219 1859 2149 2211]
40,50,20,Median,40,[   0  442  692  961 1219 1330 1859 2050 2149 2211]
40,50,20,Mode,40,[   0   70  442  692 1034 1219 1859 2050 2149 2211]
