St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  373 1012 2120]
40,50,20,Mode,40,[   0  373  949 2120]
40,50,20,Median,40,[   0  373  949 1390 2120]
40,50,20,Mode,40,[   0  373  949 1294 2120]
40,50,20,Median,40,[   0  373  949 1345 2120]
40,50,20,Mode,40,[   0  373  949 1294 2120]
40,50,20,Median,40,[   0  174  373  949 1345 2120]
40,50,20,Mode,40,[   0  174  373  949 1294 2120]
40,50,20,Median,40,[   0  174  373  788  949 1379 2120]
40,50,20,Mode,40,[   0  174  373  788  949 1294 2120]
40,50,20,Median,40,[   0  174  373  788  949 1420 2120]
40,50,20,Mode,40,[   0  174  373  788  949 1390 2120]
40,50,20,Median,40,[   0   49  373  788  949 1420 2120]
40,50,20,Mode,40,[   0   49  373  788  949 1390 2120]
40,50,20,Median,40,[   0   49  373  788  949 1258 1395 1513 2120]
40,50,20,Mode,40,[   0   49  373  788  949 1390 1513 2120]
40,50,20,Median,40,[   0   49  373  474  788  949 1258 1395 1513 2120]
40,50,20,Mode,40,[   0   49  373  474  788  949 1390 1513 2120]
