St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  497  911 1642]
40,50,20,Mode,40,[   0  145 1142 1642]
40,50,20,Median,40,[   0  801 1142 1642]
40,50,20,Mode,40,[   0  145 1142 1642]
40,50,20,Median,40,[   0 1142 1642]
40,50,20,Mode,40,[   0  145  587  801 1142 1642]
40,50,20,Median,40,[   0 1142 1425 1642]
40,50,20,Mode,40,[   0  145  587  801 1142 1425 1642]
40,50,20,Median,40,[   0  145 1142 1425 1642]
40,50,20,Mode,40,[   0  145  497  587  801 1142 1425 1642]
40,50,20,Median,40,[   0  145  911 1142 1425 1642]
40,50,20,Mode,40,[   0  145  497  587  911 1142 1425 1642]
40,50,20,Median,40,[   0  145  911 1142 1425 1642]
40,50,20,Mode,40,[   0  145  497  587  911 1142 1425 1642]
40,50,20,Median,40,[   0  145  384  642  911 1034 1142 1425 1642]
40,50,20,Mode,40,[   0  145  384  497  587  801  911 1034 1142 1425 1642]
40,50,20,Median,40,[   0  145  234  384  642  911 1034 1142 1425 1642]
40,50,20,Mode,40,[   0  145  234  384  587  911 1034 1142 1425 1642]
