St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  406 1175 1642]
40,50,20,Mode,40,[   0  659 1642]
40,50,20,Median,40,[   0  699 1184 1642]
40,50,20,Mode,40,[   0  232  659 1642]
40,50,20,Median,40,[   0  699 1175 1642]
40,50,20,Mode,40,[   0  659 1380 1642]
40,50,20,Median,40,[   0  659 1244 1642]
40,50,20,Mode,40,[   0  232  659 1040 1244 1558 1642]
40,50,20,Median,40,[   0  121  327  679 1040 1244 1642]
40,50,20,Mode,40,[   0  117  659 1040 1244 1558 1642]
40,50,20,Median,40,[   0  121  327  659 1094 1642]
40,50,20,Mode,40,[   0  117  659  847 1040 1244 1558 1642]
40,50,20,Median,40,[   0  121  327  659 1040 1150 1642]
40,50,20,Mode,40,[   0  117  659 1040 1175 1558 1642]
40,50,20,Median,40,[   0  117  659 1040 1150 1642]
40,50,20,Mode,40,[   0  117  659 1040 1175 1558 1642]
40,50,20,Median,40,[   0  117  649  882 1040 1175 1285 1642]
40,50,20,Mode,40,[   0  117  659 1040 1175 1558 1642]
