St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  614 1810]
40,50,20,Mode,40,[   0  311 1810]
40,50,20,Median,40,[   0  311  753 1810]
40,50,20,Mode,40,[   0  311  753 1283 1810]
40,50,20,Median,40,[   0  311  671 1283 1550 1810]
40,50,20,Mode,40,[   0  311  753 1676 1810]
40,50,20,Median,40,[   0  311  671 1112 1283 1556 1810]
40,50,20,Mode,40,[   0  311  753 1143 1283 1676 1810]
40,50,20,Median,40,[   0   98  311  671 1112 1283 1556 1810]
40,50,20,Mode,40,[   0   98  311  753 1143 1283 1676 1810]
40,50,20,Median,40,[   0   98  311  671 1112 1283 1522 1676 1810]
40,50,20,Mode,40,[   0   98  311  753 1143 1283 1522 1676 1810]
40,50,20,Median,40,[   0   98  311  753 1112 1283 1522 1676 1810]
40,50,20,Mode,40,[   0   98  311  753 1143 1283 1522 1676 1810]
40,50,20,Median,40,[   0   98  311  753  991 1143 1283 1522 1676 1810]
40,50,20,Mode,40,[   0   98  311  753  991 1143 1283 1522 1676 1810]
40,50,20,Median,40,[   0  311  753 1143 1283 1387 1676 1810]
40,50,20,Mode,40,[   0  311  753 1143 1283 1387 1676 1810]
