St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  488 1385 1810]
40,50,20,Mode,40,[   0  518 1755 1810]
40,50,20,Median,40,[   0  209  608 1810]
40,50,20,Mode,40,[   0  209  518 1755 1810]
40,50,20,Median,40,[   0  209  518  970 1810]
40,50,20,Mode,40,[   0  209  518 1118 1755 1810]
40,50,20,Median,40,[   0  209  518  970 1755 1810]
40,50,20,Mode,40,[   0  209  518 1118 1755 1810]
40,50,20,Median,40,[   0  209  362  518  970 1755 1810]
40,50,20,Mode,40,[   0  209  362  518 1118 1755 1810]
40,50,20,Median,40,[   0  209  362  518 1101 1755 1810]
40,50,20,Mode,40,[   0  209  362  518  697 1118 1755 1810]
40,50,20,Median,40,[   0  209  362  518 1101 1755 1810]
40,50,20,Mode,40,[   0  209  362  518  697 1118 1755 1810]
40,50,20,Median,40,[   0  209  362  518  611 1755 1810]
40,50,20,Mode,40,[   0  209  362  518  611 1755 1810]
40,50,20,Median,40,[   0  209  518  609 1755 1810]
40,50,20,Mode,40,[   0  209  362  518  611 1755 1810]
