St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  579 1314 1632]
40,50,20,Mode,40,[   0 1314 1632]
40,50,20,Median,40,[   0  682 1314 1632]
40,50,20,Mode,40,[   0   49 1314 1632]
40,50,20,Median,40,[   0   91  632  891 1377 1632]
40,50,20,Mode,40,[   0   49 1314 1632]
40,50,20,Median,40,[   0   49  300  632 1022 1377 1632]
40,50,20,Mode,40,[   0   49  364  632 1099 1314 1632]
40,50,20,Median,40,[   0   49  300  800 1099 1377 1632]
40,50,20,Mode,40,[   0   49  364  800 1099 1314 1632]
40,50,20,Median,40,[   0   49  300  800 1043 1314 1575 1632]
40,50,20,Mode,40,[   0   49  364  800 1099 1314 1561 1632]
40,50,20,Median,40,[   0   49  300  549  632  800 1043 1314 1575 1632]
40,50,20,Mode,40,[   0   49  549  632  800 1099 1314 1561 1632]
40,50,20,Median,40,[   0   49  300  549  632  800  968 1099 1314 1575 1632]
40,50,20,Mode,40,[   0   49  549  632  800  968 1099 1314 1561 1632]
40,50,20,Median,40,[   0   49  327  549  632  800  968 1099 1314 1575 1632]
40,50,20,Mode,40,[   0   49  248  364  549  632  800  968 1099 1314 1561 1632]
