St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  676  979 1632]
40,50,20,Mode,40,[   0  677  849 1632]
40,50,20,Median,40,[   0  466  677 1632]
40,50,20,Mode,40,[   0  572  677 1632]
40,50,20,Median,40,[   0  459  677 1632]
40,50,20,Mode,40,[   0  468  677 1632]
40,50,20,Median,40,[   0  459  677 1632]
40,50,20,Mode,40,[   0  468  677 1632]
40,50,20,Median,40,[   0  307  466  677 1632]
40,50,20,Mode,40,[   0  307  468  677 1632]
40,50,20,Median,40,[   0  307  466  572  677  799 1055 1632]
40,50,20,Mode,40,[   0  307  468  572  677  799 1055 1632]
40,50,20,Median,40,[   0  307  466  572  677  969 1055 1632]
40,50,20,Mode,40,[   0  307  468  572  677  799 1055 1632]
40,50,20,Median,40,[   0  307  466  572  677  969 1055 1632]
40,50,20,Mode,40,[   0  307  468  572  677  799 1055 1632]
40,50,20,Median,40,[   0  307  466  572  677  799  849 1055 1128 1632]
40,50,20,Mode,40,[   0  307  468  572  677  799  849 1055 1128 1632]
