St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1251 1632]
40,50,20,Mode,40,[   0  516 1251 1632]
40,50,20,Median,40,[   0  516  782 1251 1632]
40,50,20,Mode,40,[   0  516  871 1632]
40,50,20,Median,40,[   0  516  782 1251 1579 1632]
40,50,20,Mode,40,[   0  516  871 1251 1579 1632]
40,50,20,Median,40,[   0  319  516  782 1251 1579 1632]
40,50,20,Mode,40,[   0  319  516  871 1251 1579 1632]
40,50,20,Median,40,[   0  319  516  771  871 1251 1579 1632]
40,50,20,Mode,40,[   0  319  516  782  871 1251 1579 1632]
40,50,20,Median,40,[   0  319  516  771  871 1251 1579 1632]
40,50,20,Mode,40,[   0  319  516  782  871 1251 1579 1632]
40,50,20,Median,40,[   0  319  516  771  871 1251 1579 1632]
40,50,20,Mode,40,[   0  319  516  782  871 1251 1579 1632]
40,50,20,Median,40,[   0  319  516  573  771  871 1251 1579 1632]
40,50,20,Mode,40,[   0  319  516  563  782  871 1251 1357 1579 1632]
40,50,20,Median,40,[   0  319  516  573  722  782  871 1251 1579 1632]
40,50,20,Mode,40,[   0  319  516  563  722  782  871 1251 1579 1632]
