St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  710 2020]
40,50,20,Mode,40,[   0  710 2020]
40,50,20,Median,40,[   0  710 1231 2020]
40,50,20,Mode,40,[   0  710 1128 2020]
40,50,20,Median,40,[   0  710 1231 2020]
40,50,20,Mode,40,[   0  270  710 1128 2020]
40,50,20,Median,40,[   0  710 1638 2020]
40,50,20,Mode,40,[   0  270  710 1529 1857 2020]
40,50,20,Median,40,[   0  221  710 1127 1235 1638 2020]
40,50,20,Mode,40,[   0  270  710 1235 1529 1857 2020]
40,50,20,Median,40,[   0  221  710  845 1127 1235 1638 1904 2020]
40,50,20,Mode,40,[   0  270  846 1235 1529 1857 2020]
40,50,20,Median,40,[   0  221  710  845 1127 1235 1529 1697 1904 2020]
40,50,20,Mode,40,[   0  270  846 1235 1697 1857 2020]
40,50,20,Median,40,[   0  221  710  845 1127 1235 1697 1857 1966 2020]
40,50,20,Mode,40,[   0  270  846 1235 1697 1857 2020]
40,50,20,Median,40,[   0   43  270  845 1127 1235 1697 1857 1966 2020]
40,50,20,Mode,40,[   0   43  270  846 1235 1697 1857 2020]
