St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  458  993 1875]
40,50,20,Mode,40,[   0  921 1875]
40,50,20,Median,40,[   0  921 1875]
40,50,20,Mode,40,[   0  921 1336 1875]
40,50,20,Median,40,[   0   83  921 1875]
40,50,20,Mode,40,[   0   83  921 1336 1875]
40,50,20,Median,40,[   0   83  921 1336 1875]
40,50,20,Mode,40,[   0   83  921 1336 1671 1875]
40,50,20,Median,40,[   0   83  852  921 1336 1875]
40,50,20,Mode,40,[   0   83  458  852  921 1336 1671 1875]
40,50,20,Median,40,[   0   83  921  993 1875]
40,50,20,Mode,40,[   0   83  921  993 1190 1336 1671 1875]
40,50,20,Median,40,[   0   83  852  921 1761 1875]
40,50,20,Mode,40,[   0   83  222  458  852  921 1336 1671 1875]
40,50,20,Median,40,[   0   83  478  566  852  921 1761 1875]
40,50,20,Mode,40,[   0   83  222  458  852  921 1336 1671 1875]
40,50,20,Median,40,[   0   83  478  566  852  921  993 1875]
40,50,20,Mode,40,[   0   83  222  458  852  921  993 1190 1336 1671 1875]
