St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  306 1511 1875]
40,50,20,Mode,40,[   0  265 1875]
40,50,20,Median,40,[   0  306 1690 1875]
40,50,20,Mode,40,[   0  265 1690 1875]
40,50,20,Median,40,[   0  265  401 1690 1875]
40,50,20,Mode,40,[   0  265  378 1690 1875]
40,50,20,Median,40,[   0  265  401 1690 1875]
40,50,20,Mode,40,[   0  265  378 1690 1875]
40,50,20,Median,40,[   0  115  562 1238 1690 1875]
40,50,20,Mode,40,[   0  115  265  613 1238 1690 1875]
40,50,20,Median,40,[   0  115  562 1238 1690 1829 1875]
40,50,20,Mode,40,[   0  265  613 1238 1690 1829 1875]
40,50,20,Median,40,[   0  265  378 1654 1829 1875]
40,50,20,Mode,40,[   0  265  378 1690 1829 1875]
40,50,20,Median,40,[   0  265  378  848 1002 1654 1829 1875]
40,50,20,Mode,40,[   0  265  378  848 1002 1690 1829 1875]
40,50,20,Median,40,[   0  265  378 1238 1603 1690 1829 1875]
40,50,20,Mode,40,[   0  265  378 1238 1603 1690 1829 1875]
