St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 686 969]
40,50,20,Mode,40,[  0 464 969]
40,50,20,Median,40,[  0 217 556 969]
40,50,20,Mode,40,[  0 325 464 918 969]
40,50,20,Median,40,[  0 159 409 969]
40,50,20,Mode,40,[  0 217 464 969]
40,50,20,Median,40,[  0 246 464 969]
40,50,20,Mode,40,[  0 159 464 969]
40,50,20,Median,40,[  0 217 331 550 918 969]
40,50,20,Mode,40,[  0 217 325 464 969]
40,50,20,Median,40,[  0 217 325 570 688 969]
40,50,20,Mode,40,[  0 217 325 556 688 969]
40,50,20,Median,40,[  0 224 325 570 688 969]
40,50,20,Mode,40,[  0 217 325 556 688 969]
40,50,20,Median,40,[  0 224 325 556 688 969]
40,50,20,Mode,40,[  0 217 325 556 612 969]
40,50,20,Median,40,[  0  57 224 325 416 464 556 688 918 969]
40,50,20,Mode,40,[  0 217 416 556 612 969]
