St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  492 1084 1249]
40,50,20,Mode,40,[   0  492 1088 1249]
40,50,20,Median,40,[   0  492 1086 1249]
40,50,20,Mode,40,[   0  492 1088 1249]
40,50,20,Median,40,[   0  492  678 1249]
40,50,20,Mode,40,[   0  492  676 1249]
40,50,20,Median,40,[   0  196  337  492  678 1086 1249]
40,50,20,Mode,40,[   0  492  676 1249]
40,50,20,Median,40,[   0  492  678  948 1088 1249]
40,50,20,Mode,40,[   0  492  676  930 1088 1249]
40,50,20,Median,40,[   0  492  678  948 1088 1249]
40,50,20,Mode,40,[   0  492  676  930 1088 1249]
40,50,20,Median,40,[   0   71  196  338  492  678  948 1088 1249]
40,50,20,Mode,40,[   0   71  196  338  492  676  930 1088 1249]
40,50,20,Median,40,[   0   71  196  338  492  678  796  948 1088 1249]
40,50,20,Mode,40,[   0   71  196  338  492  676  930 1088 1249]
40,50,20,Median,40,[   0   71  196  336  430  492  678  796  948 1088 1249]
40,50,20,Mode,40,[   0   71  196  338  430  492  676  930 1088 1249]
