St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  459  884 1249]
40,50,20,Mode,40,[   0  773 1249]
40,50,20,Median,40,[   0  459 1127 1249]
40,50,20,Mode,40,[   0 1109 1249]
40,50,20,Median,40,[   0  358  567 1127 1249]
40,50,20,Mode,40,[   0  358  542 1109 1249]
40,50,20,Median,40,[   0  358  542 1127 1249]
40,50,20,Mode,40,[   0  358  542 1109 1249]
40,50,20,Median,40,[   0  238  358  568  884 1127 1249]
40,50,20,Mode,40,[   0  238  358  542 1109 1249]
40,50,20,Median,40,[   0  238  358  459  568  773 1127 1249]
40,50,20,Mode,40,[   0  238  358  459 1109 1249]
40,50,20,Median,40,[   0  238  358  459  568  884 1127 1249]
40,50,20,Mode,40,[   0  238  358  459 1109 1249]
40,50,20,Median,40,[   0  238  358  459  567  773 1127 1249]
40,50,20,Mode,40,[   0  238  358  459  542  620  773 1109 1249]
40,50,20,Median,40,[   0  238  358  459  568  773 1127 1249]
40,50,20,Mode,40,[   0  238  358  459  884  925 1109 1249]
