St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  415 1024 1427]
40,50,20,Mode,40,[   0   79 1427]
40,50,20,Median,40,[   0   79  556 1024 1427]
40,50,20,Mode,40,[   0   79  556 1427]
40,50,20,Median,40,[   0   79  410  586 1024 1427]
40,50,20,Mode,40,[   0   79  284  556 1427]
40,50,20,Median,40,[   0   79  410  586 1024 1272 1427]
40,50,20,Mode,40,[   0   79  284  556 1157 1427]
40,50,20,Median,40,[   0   79  358  556  634 1024 1272 1427]
40,50,20,Mode,40,[   0   79  284  556  634 1427]
40,50,20,Median,40,[   0   79  284  421  556  636 1024 1272 1427]
40,50,20,Mode,40,[   0   79  284  468  556  634 1427]
40,50,20,Median,40,[   0   79  284  421  556  636  937 1025 1272 1427]
40,50,20,Mode,40,[   0   79  284  468  556  634  937 1025 1157 1427]
40,50,20,Median,40,[   0   79  284  421  556  937 1025 1157 1427]
40,50,20,Mode,40,[   0   79  284  468  556  634  937 1025 1157 1272 1427]
40,50,20,Median,40,[   0   79  284  421  556  937 1025 1157 1427]
40,50,20,Mode,40,[   0   79  284  468  556  937 1025 1157 1272 1427]
