St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  325 1249 1427]
40,50,20,Mode,40,[   0  325 1266 1427]
40,50,20,Median,40,[   0  325 1266 1427]
40,50,20,Mode,40,[   0  325 1266 1427]
40,50,20,Median,40,[   0  275 1266 1427]
40,50,20,Mode,40,[   0  325  540 1266 1427]
40,50,20,Median,40,[   0  275  505  920 1266 1427]
40,50,20,Mode,40,[   0  325  540 1123 1266 1427]
40,50,20,Median,40,[   0   96  325  505  920 1266 1427]
40,50,20,Mode,40,[   0   96  325  540 1123 1266 1427]
40,50,20,Median,40,[   0   96  325  505  868 1070 1266 1380 1427]
40,50,20,Mode,40,[   0   96  325  540 1123 1266 1380 1427]
40,50,20,Median,40,[   0   96  249  325  505  868 1266 1380 1427]
40,50,20,Mode,40,[   0   96  249  325  540 1266 1380 1427]
40,50,20,Median,40,[   0   96  249  325  505  838  939 1266 1380 1427]
40,50,20,Mode,40,[   0   96  249  325  540  838  939 1266 1380 1427]
40,50,20,Median,40,[   0   96  249  325  479  540  838  939 1266 1380 1427]
40,50,20,Mode,40,[   0   96  249  325  479  540  838  939 1266 1380 1427]
