St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  483 1065 1427]
40,50,20,Mode,40,[   0  270 1065 1427]
40,50,20,Median,40,[   0  270 1208 1427]
40,50,20,Mode,40,[   0  270 1065 1427]
40,50,20,Median,40,[   0  270  545  777 1208 1427]
40,50,20,Mode,40,[   0  270  777 1065 1427]
40,50,20,Median,40,[   0  270  545  777 1065 1233 1427]
40,50,20,Mode,40,[   0  270  483  777 1065 1233 1427]
40,50,20,Median,40,[   0  270  545  777 1065 1233 1427]
40,50,20,Mode,40,[   0  270  483  777 1065 1233 1427]
40,50,20,Median,40,[   0  270  545  777  931 1233 1427]
40,50,20,Mode,40,[   0  270  777  931 1233 1427]
40,50,20,Median,40,[   0  270  483  545  777  931 1233 1427]
40,50,20,Mode,40,[   0  270  483  545  777  931 1233 1427]
40,50,20,Median,40,[   0  270  483  545  706  777  931 1233 1427]
40,50,20,Mode,40,[   0  270  483  545  706  777  931 1233 1427]
40,50,20,Median,40,[   0  270  483  545  706  777  931 1233 1427]
40,50,20,Mode,40,[   0  270  483  545  706  777  931 1233 1427]
