St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  258 1057 1465]
40,50,20,Mode,40,[   0  295 1465]
40,50,20,Median,40,[   0  834 1287 1465]
40,50,20,Mode,40,[   0  295  972 1377 1465]
40,50,20,Median,40,[   0  772  972 1300 1465]
40,50,20,Mode,40,[   0  295  772  972 1377 1465]
40,50,20,Median,40,[   0  226  572  772  972 1300 1465]
40,50,20,Mode,40,[   0  455  772  972 1377 1465]
40,50,20,Median,40,[   0  772  972 1300 1465]
40,50,20,Mode,40,[   0  455  772  972 1377 1465]
40,50,20,Median,40,[   0  772  972 1377 1465]
40,50,20,Mode,40,[   0  455  772  972 1274 1377 1465]
40,50,20,Median,40,[   0  772  972 1093 1377 1465]
40,50,20,Mode,40,[   0  455  772  972 1093 1377 1465]
40,50,20,Median,40,[   0  772  972 1093 1377 1465]
40,50,20,Mode,40,[   0  455  772  972 1093 1377 1465]
40,50,20,Median,40,[   0  258  455  572  772  972 1093 1377 1465]
40,50,20,Mode,40,[   0  455  572  772  972 1093 1377 1465]
