St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  817 2824]
40,50,20,Mode,40,[   0 1042 2742 2824]
40,50,20,Median,40,[   0 1407 2434 2824]
40,50,20,Mode,40,[   0  206 1742 2742 2824]
40,50,20,Median,40,[   0  419 1116 2689 2824]
40,50,20,Mode,40,[   0  206 1742 2742 2824]
40,50,20,Median,40,[   0  419 1042 1585 2156 2742 2824]
40,50,20,Mode,40,[   0  206 1742 2022 2742 2824]
40,50,20,Median,40,[   0  222  602 1116 1585 2156 2742 2824]
40,50,20,Mode,40,[   0  206  602 1042 1742 2022 2742 2824]
40,50,20,Median,40,[   0  206  602 1021 1248 2742 2824]
40,50,20,Mode,40,[   0  206  602 1042 1248 1742 2022 2742 2824]
40,50,20,Median,40,[   0  206  602 1021 1248 2022 2282 2742 2824]
40,50,20,Mode,40,[   0  206  602 1042 1248 1742 2022 2282 2742 2824]
40,50,20,Median,40,[   0  206  817 1042 1248 2022 2282 2742 2824]
40,50,20,Mode,40,[   0  206  602  817 1042 1248 1742 2022 2282 2742 2824]
40,50,20,Median,40,[   0  206  817 1042 1248 1553 1742 2022 2282 2742 2824]
40,50,20,Mode,40,[   0  206  602  817 1042 1248 1553 1742 2022 2282 2742 2824]
