St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 312 906 997]
40,50,20,Mode,40,[  0 906 997]
40,50,20,Median,40,[  0 167 547 906 997]
40,50,20,Mode,40,[  0 167 701 906 997]
40,50,20,Median,40,[  0 167 546 701 906 997]
40,50,20,Mode,40,[  0 167 701 906 997]
40,50,20,Median,40,[  0 167 347 701 906 997]
40,50,20,Mode,40,[  0 167 312 547 701 906 997]
40,50,20,Median,40,[  0 167 235 429 701 906 997]
40,50,20,Mode,40,[  0 167 429 547 701 906 997]
40,50,20,Median,40,[  0 167 312 429 701 906 997]
40,50,20,Mode,40,[  0 167 429 547 701 906 997]
40,50,20,Median,40,[  0 167 312 429 546 610 701 906 997]
40,50,20,Mode,40,[  0 167 429 547 701 906 997]
40,50,20,Median,40,[  0 167 312 429 546 610 701 906 997]
40,50,20,Mode,40,[  0 167 429 547 701 906 997]
40,50,20,Median,40,[  0 167 312 429 546 610 701 906 997]
40,50,20,Mode,40,[  0 167 429 547 701 906 997]
