St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 323 717 997]
40,50,20,Mode,40,[  0 347 655 997]
40,50,20,Median,40,[  0 323 655 956 997]
40,50,20,Mode,40,[  0 347 655 956 997]
40,50,20,Median,40,[  0 142 347 655 956 997]
40,50,20,Mode,40,[  0 347 655 956 997]
40,50,20,Median,40,[  0 347 655 757 956 997]
40,50,20,Mode,40,[  0 347 655 757 956 997]
40,50,20,Median,40,[  0  59 209 347 655 757 956 997]
40,50,20,Mode,40,[  0  81 209 347 655 757 956 997]
40,50,20,Median,40,[  0  59 209 402 655 757 956 997]
40,50,20,Mode,40,[  0  81 209 402 655 757 956 997]
40,50,20,Median,40,[  0  59 209 402 597 655 757 997]
40,50,20,Mode,40,[  0 402 597 655 757 997]
40,50,20,Median,40,[  0  59 209 402 597 655 757 905 956 997]
40,50,20,Mode,40,[  0 402 597 655 757 905 956 997]
40,50,20,Median,40,[  0  59 209 402 473 597 655 757 905 956 997]
40,50,20,Mode,40,[  0 402 473 597 655 757 905 956 997]
