St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 209 651 997]
40,50,20,Mode,40,[  0 282 578 997]
40,50,20,Median,40,[  0 209 589 808 997]
40,50,20,Mode,40,[  0 282 785 997]
40,50,20,Median,40,[  0 209 702 997]
40,50,20,Mode,40,[  0 282 578 661 997]
40,50,20,Median,40,[  0 185 282 702 997]
40,50,20,Mode,40,[  0 162 282 578 997]
40,50,20,Median,40,[  0 185 282 546 785 997]
40,50,20,Mode,40,[  0 162 282 578 661 785 997]
40,50,20,Median,40,[  0 185 282 523 578 661 785 997]
40,50,20,Mode,40,[  0 162 282 523 578 661 785 997]
40,50,20,Median,40,[  0 185 282 383 523 578 661 785 997]
40,50,20,Mode,40,[  0 162 383 523 578 661 785 997]
40,50,20,Median,40,[  0 185 282 383 523 578 661 785 997]
40,50,20,Mode,40,[  0 162 383 523 578 661 785 997]
40,50,20,Median,40,[  0 185 282 383 523 578 661 702 785 997]
40,50,20,Mode,40,[  0 162 383 523 578 661 702 785 997]
