St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1213 2449 2956]
40,50,20,Mode,40,[   0 2686 2956]
40,50,20,Median,40,[   0 1321 2507 2956]
40,50,20,Mode,40,[   0  475 1213 2686 2956]
40,50,20,Median,40,[   0  419 1213 1597 2546 2956]
40,50,20,Mode,40,[   0 1213 1525 2686 2956]
40,50,20,Median,40,[   0  419 1213 1574 2072 2956]
40,50,20,Mode,40,[   0 1213 1525 2686 2956]
40,50,20,Median,40,[   0  419  905 1213 1597 2956]
40,50,20,Mode,40,[   0 1213 1525 2686 2956]
40,50,20,Median,40,[   0  419  905 1213 1597 1966 2431 2686 2956]
40,50,20,Mode,40,[   0 1213 1525 2431 2956]
40,50,20,Median,40,[   0  419  905 1213 1884 2431 2956]
40,50,20,Mode,40,[   0 1213 1525 2431 2956]
40,50,20,Median,40,[   0 1884 2431 2956]
40,50,20,Mode,40,[   0 1213 1525 2431 2956]
40,50,20,Median,40,[   0 1884 2431 2641 2956]
40,50,20,Mode,40,[   0 1213 1525 2431 2956]
