St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1368 2290 2956]
40,50,20,Mode,40,[   0 1368 2051 2956]
40,50,20,Median,40,[   0 1369 2290 2956]
40,50,20,Mode,40,[   0 1368 2051 2956]
40,50,20,Median,40,[   0 1369 2051 2956]
40,50,20,Mode,40,[   0 1368 2051 2290 2956]
40,50,20,Median,40,[   0 1369 2051 2956]
40,50,20,Mode,40,[   0 1368 2051 2290 2956]
40,50,20,Median,40,[   0 1597 2051 2956]
40,50,20,Mode,40,[   0 1597 2051 2290 2956]
40,50,20,Median,40,[   0  123 1597 2051 2956]
40,50,20,Mode,40,[   0 1597 2051 2290 2956]
40,50,20,Median,40,[   0  123 1597 2051 2290 2956]
40,50,20,Mode,40,[   0 1597 2051 2290 2956]
40,50,20,Median,40,[   0  123 1368 1464 1836 2051 2956]
40,50,20,Mode,40,[   0 1368 1464 2051 2956]
40,50,20,Median,40,[   0  123 1368 1464 2051 2290 2406 2576 2956]
40,50,20,Mode,40,[   0 1368 1464 2051 2956]
