St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1236 2897 4758]
40,50,20,Mode,40,[   0 1236 3228 4758]
40,50,20,Median,40,[   0 1109 3178 4758]
40,50,20,Mode,40,[   0 1236 2609 3228 4758]
40,50,20,Median,40,[   0  396 1625 2882 4474 4758]
40,50,20,Mode,40,[   0  146 1236 4474 4758]
40,50,20,Median,40,[   0  396 1945 2897 4474 4758]
40,50,20,Mode,40,[   0  146 1945 4474 4758]
40,50,20,Median,40,[   0  396 1144 1859 2651 3228 4474 4758]
40,50,20,Mode,40,[   0  146 1945 2609 3228 4474 4758]
40,50,20,Median,40,[   0  396 1144 1857 2552 2897 3228 4474 4758]
40,50,20,Mode,40,[   0  146 1945 2940 3228 4474 4758]
40,50,20,Median,40,[   0  396 1144 1857 2897 3228 4474 4758]
40,50,20,Mode,40,[   0  146 1945 2199 2940 3228 4474 4758]
40,50,20,Median,40,[   0  146  439 1143 2012 2897 3228 4474 4758]
40,50,20,Mode,40,[   0  146 1945 2940 3228 4474 4758]
40,50,20,Median,40,[   0  146  439 1143 1595 1945 2897 3228 3537 4758]
40,50,20,Mode,40,[   0  146 1945 2940 3228 3657 4474 4758]
